date,price
02/01/2014,1803
03/01/2014,1772.5
06/01/2014,1782.5
07/01/2014,1785
08/01/2014,1777
09/01/2014,1750
10/01/2014,1765
13/01/2014,1779.5
14/01/2014,1761
15/01/2014,1784
16/01/2014,1798
17/01/2014,1821.5
20/01/2014,1806.5
21/01/2014,1798.5
22/01/2014,1783
23/01/2014,1763
24/01/2014,1762
27/01/2014,1758
28/01/2014,1754.5
29/01/2014,1742
30/01/2014,1729
31/01/2014,1706
03/02/2014,1677
04/02/2014,1689
05/02/2014,1701
06/02/2014,1713
07/02/2014,1719
10/02/2014,1701
11/02/2014,1707
12/02/2014,1735
13/02/2014,1742
14/02/2014,1745.5
17/02/2014,1732.5
18/02/2014,1766
19/02/2014,1769
20/02/2014,1772
21/02/2014,1771
24/02/2014,1762
25/02/2014,1771
26/02/2014,1774.5
27/02/2014,1768
28/02/2014,1754
03/03/2014,1721
04/03/2014,1768
05/03/2014,1775
06/03/2014,1796
07/03/2014,1765
10/03/2014,1775.5
11/03/2014,1750.5
12/03/2014,1763.5
13/03/2014,1741
14/03/2014,1740
17/03/2014,1724.5
18/03/2014,1736
19/03/2014,1739
20/03/2014,1712
21/03/2014,1723
24/03/2014,1731
25/03/2014,1752.5
26/03/2014,1729
27/03/2014,1738
28/03/2014,1758
31/03/2014,1785
01/04/2014,1795.5
02/04/2014,1829.5
03/04/2014,1834
04/04/2014,1822
07/04/2014,1817
08/04/2014,1819
09/04/2014,1857.5
10/04/2014,1892
11/04/2014,1884
14/04/2014,1882
15/04/2014,1852
16/04/2014,1875
17/04/2014,1865
22/04/2014,1891
23/04/2014,1874.5
24/04/2014,1876
25/04/2014,1852.5
28/04/2014,1829
29/04/2014,1813
30/04/2014,1800
01/05/2014,1785
02/05/2014,1786
06/05/2014,1784
07/05/2014,1769
08/05/2014,1766.5
09/05/2014,1761.5
12/05/2014,1787
13/05/2014,1781
14/05/2014,1809
15/05/2014,1775
16/05/2014,1769.5
19/05/2014,1774
20/05/2014,1770
21/05/2014,1768
22/05/2014,1796
23/05/2014,1814.5
27/05/2014,1828.5
28/05/2014,1840
29/05/2014,1845
30/05/2014,1838
02/06/2014,1850
03/06/2014,1846
04/06/2014,1835
05/06/2014,1850
06/06/2014,1879
09/06/2014,1911
10/06/2014,1900.5
11/06/2014,1867
12/06/2014,1844
13/06/2014,1845
16/06/2014,1853
17/06/2014,1852
18/06/2014,1873
19/06/2014,1889
20/06/2014,1886
23/06/2014,1890
24/06/2014,1896
25/06/2014,1900
26/06/2014,1897
27/06/2014,1885
30/06/2014,1891
01/07/2014,1884
02/07/2014,1923
03/07/2014,1935
04/07/2014,1923
07/07/2014,1924
08/07/2014,1940
09/07/2014,1939
10/07/2014,1925
11/07/2014,1941
14/07/2014,1942
15/07/2014,1960
16/07/2014,1970
17/07/2014,1989
18/07/2014,1981
21/07/2014,2020
22/07/2014,2043
23/07/2014,2016
24/07/2014,2026
25/07/2014,1997
28/07/2014,2015
29/07/2014,1982
30/07/2014,2022
31/07/2014,1988
01/08/2014,1975
04/08/2014,2029
05/08/2014,2013
06/08/2014,2024
07/08/2014,2027
08/08/2014,2024
11/08/2014,2033.5
12/08/2014,2052
13/08/2014,2026
14/08/2014,1997
15/08/2014,2000
18/08/2014,2019
19/08/2014,2039
20/08/2014,2076
21/08/2014,2059
22/08/2014,2063
26/08/2014,2083
27/08/2014,2085.5
28/08/2014,2081
29/08/2014,2096.5
01/09/2014,2095
02/09/2014,2107
03/09/2014,2079
04/09/2014,2105
05/09/2014,2093
08/09/2014,2097
09/09/2014,2068
10/09/2014,2059
11/09/2014,2040
12/09/2014,2029
15/09/2014,1991
16/09/2014,2026
17/09/2014,1998
18/09/2014,1981.5
19/09/2014,1976
22/09/2014,1976
23/09/2014,1966
24/09/2014,1974
25/09/2014,1950.5
26/09/2014,1948
29/09/2014,1963
30/09/2014,1960
01/10/2014,1921
02/10/2014,1889.5
03/10/2014,1914
06/10/2014,1929
07/10/2014,1955
08/10/2014,1940
09/10/2014,1950
10/10/2014,1930
13/10/2014,1945
14/10/2014,1950
15/10/2014,1919
16/10/2014,1913
17/10/2014,1972
20/10/2014,1972
21/10/2014,1991
22/10/2014,2012
23/10/2014,1988
24/10/2014,1968
27/10/2014,1983
28/10/2014,1996
29/10/2014,2030
30/10/2014,2025
31/10/2014,2039
03/11/2014,2070
04/11/2014,2061.5
05/11/2014,2060
06/11/2014,2076
07/11/2014,2055
10/11/2014,2033.5
11/11/2014,2043
12/11/2014,2060
13/11/2014,2041
14/11/2014,2022
17/11/2014,2029
18/11/2014,2011
19/11/2014,2020
20/11/2014,2033
21/11/2014,2054.5
24/11/2014,2046
25/11/2014,2049
26/11/2014,2061
27/11/2014,2044
28/11/2014,2004
01/12/2014,2026
02/12/2014,1978
03/12/2014,1972
04/12/2014,1994.5
05/12/2014,1982
08/12/2014,1966
09/12/2014,1972
10/12/2014,1959
11/12/2014,1946.5
12/12/2014,1935
15/12/2014,1922
16/12/2014,1906.5
17/12/2014,1921.5
18/12/2014,1911
19/12/2014,1906.5
22/12/2014,1880
23/12/2014,1869
24/12/2014,1861
29/12/2014,1859
30/12/2014,1858
31/12/2014,1852.5
02/01/2015,1832
05/01/2015,1818.5
06/01/2015,1787
07/01/2015,1790
08/01/2015,1832
09/01/2015,1810
12/01/2015,1810
13/01/2015,1791.5
14/01/2015,1774
15/01/2015,1791
16/01/2015,1845
19/01/2015,1818
20/01/2015,1844
21/01/2015,1867
22/01/2015,1866
23/01/2015,1831
26/01/2015,1879
27/01/2015,1855
28/01/2015,1850
29/01/2015,1819
30/01/2015,1864
02/02/2015,1873
03/02/2015,1891
04/02/2015,1878
05/02/2015,1885
06/02/2015,1871
09/02/2015,1876
10/02/2015,1836
11/02/2015,1822
12/02/2015,1841.5
13/02/2015,1836.5
16/02/2015,1825
17/02/2015,1818
18/02/2015,1819
19/02/2015,1818
20/02/2015,1793
23/02/2015,1791
24/02/2015,1810
25/02/2015,1794
26/02/2015,1806
27/02/2015,1815
02/03/2015,1801
03/03/2015,1792
04/03/2015,1800
05/03/2015,1802
06/03/2015,1782
09/03/2015,1780
10/03/2015,1762
11/03/2015,1745
12/03/2015,1748
13/03/2015,1772
16/03/2015,1770.5
17/03/2015,1786
18/03/2015,1763
19/03/2015,1780
20/03/2015,1796
23/03/2015,1798
24/03/2015,1791
25/03/2015,1775
26/03/2015,1789
27/03/2015,1782
30/03/2015,1797.5
31/03/2015,1785
01/04/2015,1778
02/04/2015,1782
07/04/2015,1784
08/04/2015,1771
09/04/2015,1762.5
10/04/2015,1765
13/04/2015,1765
14/04/2015,1789
15/04/2015,1812
16/04/2015,1820
17/04/2015,1815
20/04/2015,1810
21/04/2015,1816
22/04/2015,1806
23/04/2015,1777.5
24/04/2015,1822.5
27/04/2015,1837
28/04/2015,1874
29/04/2015,1883
30/04/2015,1925
01/05/2015,1910
05/05/2015,1978
06/05/2015,1921
07/05/2015,1883
08/05/2015,1889
11/05/2015,1879
12/05/2015,1895.5
13/05/2015,1882
14/05/2015,1868
15/05/2015,1853
18/05/2015,1821
19/05/2015,1789
20/05/2015,1783.5
21/05/2015,1773
22/05/2015,1768
26/05/2015,1752
27/05/2015,1738
28/05/2015,1776.5
29/05/2015,1740
01/06/2015,1762
02/06/2015,1740.5
03/06/2015,1752
04/06/2015,1743
05/06/2015,1750
08/06/2015,1750
09/06/2015,1750
10/06/2015,1759
11/06/2015,1750
12/06/2015,1739
15/06/2015,1717
16/06/2015,1707
17/06/2015,1704.5
18/06/2015,1701
19/06/2015,1691.5
22/06/2015,1709
23/06/2015,1725
24/06/2015,1716
25/06/2015,1723
26/06/2015,1704
29/06/2015,1701
30/06/2015,1691
01/07/2015,1727
02/07/2015,1724
03/07/2015,1710
06/07/2015,1695
07/07/2015,1674
08/07/2015,1671
09/07/2015,1700
10/07/2015,1699
13/07/2015,1713
14/07/2015,1707
15/07/2015,1718
16/07/2015,1716
17/07/2015,1697
20/07/2015,1689
21/07/2015,1661
22/07/2015,1659
23/07/2015,1636
24/07/2015,1642.5
27/07/2015,1639
28/07/2015,1655
29/07/2015,1662.5
30/07/2015,1643
31/07/2015,1618
03/08/2015,1612
04/08/2015,1617
05/08/2015,1595
06/08/2015,1592.5
07/08/2015,1589
10/08/2015,1618.5
11/08/2015,1587
12/08/2015,1589
13/08/2015,1574
14/08/2015,1580.5
17/08/2015,1568
18/08/2015,1554
19/08/2015,1556.5
20/08/2015,1575
21/08/2015,1548
24/08/2015,1521
25/08/2015,1557
26/08/2015,1531.5
27/08/2015,1560
28/08/2015,1603
01/09/2015,1603
