date,price
02/01/2014,420.5
03/01/2014,423.5
06/01/2014,427.75
07/01/2014,426
08/01/2014,417
09/01/2014,412
10/01/2014,432.75
13/01/2014,434.5
14/01/2014,431.5
15/01/2014,425.75
16/01/2014,428
17/01/2014,424
21/01/2014,425
22/01/2014,426.25
23/01/2014,429
24/01/2014,429.5
27/01/2014,431.75
28/01/2014,432
29/01/2014,427.5
30/01/2014,433.5
31/01/2014,434
03/02/2014,435.75
04/02/2014,441.75
05/02/2014,443.25
06/02/2014,443
07/02/2014,444.25
10/02/2014,443
11/02/2014,441.5
12/02/2014,440
13/02/2014,440.5
14/02/2014,445.25
18/02/2014,449.5
19/02/2014,453.75
20/02/2014,455.75
21/02/2014,453
24/02/2014,451.5
25/02/2014,455.75
26/02/2014,455.5
27/02/2014,448
28/02/2014,457.5
03/03/2014,470.5
04/03/2014,484.25
05/03/2014,482
06/03/2014,491
07/03/2014,489
10/03/2014,478.25
11/03/2014,483.25
12/03/2014,488.5
13/03/2014,485
14/03/2014,486
17/03/2014,479
18/03/2014,486.25
19/03/2014,487.75
20/03/2014,478.5
21/03/2014,479
24/03/2014,490
25/03/2014,486.5
26/03/2014,484.5
27/03/2014,492
28/03/2014,492
31/03/2014,502
01/04/2014,507.5
02/04/2014,495.75
03/04/2014,500
04/04/2014,501.75
07/04/2014,499.25
08/04/2014,507
09/04/2014,502.25
10/04/2014,501.25
11/04/2014,498.5
14/04/2014,503
15/04/2014,503.75
16/04/2014,497.5
17/04/2014,494.75
21/04/2014,488.5
22/04/2014,496.25
23/04/2014,503.5
24/04/2014,501.25
25/04/2014,507
28/04/2014,507.75
29/04/2014,515.75
30/04/2014,514
01/05/2014,507
02/05/2014,499.5
05/05/2014,508
06/05/2014,517.5
07/05/2014,514
08/05/2014,516.5
09/05/2014,507.5
12/05/2014,499.5
13/05/2014,502.75
14/05/2014,495.5
15/05/2014,484.25
16/05/2014,483.5
19/05/2014,477.25
20/05/2014,473.5
21/05/2014,474.5
22/05/2014,476.75
23/05/2014,478
27/05/2014,469.75
28/05/2014,472.5
29/05/2014,469.5
30/05/2014,465.75
02/06/2014,465.5
03/06/2014,458.25
04/06/2014,456.25
05/06/2014,449
06/06/2014,459
09/06/2014,451
10/06/2014,445.5
11/06/2014,441
12/06/2014,444
13/06/2014,447
16/06/2014,441
17/06/2014,438.75
18/06/2014,441.5
19/06/2014,450.5
20/06/2014,453.25
23/06/2014,444.5
24/06/2014,443
25/06/2014,441
26/06/2014,442.75
27/06/2014,443
30/06/2014,424.25
01/07/2014,416
02/07/2014,412.25
