date,price
01/01/2014,1.22699
02/01/2014,1.22917
03/01/2014,1.23005
06/01/2014,1.23217
07/01/2014,1.23785
08/01/2014,1.23713
09/01/2014,1.23415
10/01/2014,1.23363
13/01/2014,1.22902
14/01/2014,1.2345
15/01/2014,1.2364
16/01/2014,1.23233
17/01/2014,1.23257
20/01/2014,1.2333
21/01/2014,1.23431
22/01/2014,1.23482
23/01/2014,1.22899
24/01/2014,1.22353
27/01/2014,1.22548
28/01/2014,1.2266
29/01/2014,1.22211
30/01/2014,1.2238
31/01/2014,1.22236
03/02/2014,1.21855
04/02/2014,1.22162
05/02/2014,1.22285
06/02/2014,1.22447
07/02/2014,1.22425
10/02/2014,1.22367
11/02/2014,1.22515
12/02/2014,1.22427
13/02/2014,1.22218
14/02/2014,1.22214
17/02/2014,1.22194
18/02/2014,1.22185
19/02/2014,1.22031
20/02/2014,1.22018
21/02/2014,1.21977
24/02/2014,1.2209
25/02/2014,1.21899
26/02/2014,1.21905
27/02/2014,1.21783
28/02/2014,1.21486
03/03/2014,1.21294
04/03/2014,1.2194
05/03/2014,1.21836
06/03/2014,1.2204
07/03/2014,1.21817
10/03/2014,1.21797
11/03/2014,1.2173
12/03/2014,1.21518
13/03/2014,1.21306
14/03/2014,1.21372
17/03/2014,1.21572
18/03/2014,1.21667
19/03/2014,1.21818
20/03/2014,1.21779
21/03/2014,1.21757
24/03/2014,1.21899
25/03/2014,1.22047
26/03/2014,1.21977
27/03/2014,1.2183
28/03/2014,1.21944
31/03/2014,1.21802
01/04/2014,1.21856
02/04/2014,1.2206
03/04/2014,1.22239
04/04/2014,1.22271
07/04/2014,1.2202
08/04/2014,1.21861
09/04/2014,1.21874
10/04/2014,1.217
11/04/2014,1.21634
14/04/2014,1.21583
15/04/2014,1.2159
16/04/2014,1.2183
17/04/2014,1.22008
18/04/2014,1.21989
21/04/2014,1.22072
22/04/2014,1.22175
23/04/2014,1.22067
24/04/2014,1.21954
25/04/2014,1.21957
28/04/2014,1.21927
29/04/2014,1.22021
30/04/2014,1.22083
01/05/2014,1.21949
02/05/2014,1.21792
05/05/2014,1.2179
06/05/2014,1.21769
07/05/2014,1.21888
08/05/2014,1.21812
09/05/2014,1.21959
12/05/2014,1.22148
13/05/2014,1.21979
14/05/2014,1.22027
15/05/2014,1.22145
16/05/2014,1.22242
19/05/2014,1.22317
20/05/2014,1.22221
21/05/2014,1.22257
22/05/2014,1.22107
23/05/2014,1.22094
26/05/2014,1.22079
27/05/2014,1.2227
28/05/2014,1.22101
29/05/2014,1.22127
30/05/2014,1.22056
02/06/2014,1.22196
03/06/2014,1.22157
04/06/2014,1.2201
05/06/2014,1.21768
06/06/2014,1.2192
09/06/2014,1.21945
10/06/2014,1.21814
11/06/2014,1.21777
12/06/2014,1.21755
13/06/2014,1.2187
16/06/2014,1.21774
17/06/2014,1.2184
18/06/2014,1.21781
19/06/2014,1.21662
20/06/2014,1.2173
23/06/2014,1.21654
24/06/2014,1.21616
25/06/2014,1.21685
26/06/2014,1.21632
27/06/2014,1.21581
30/06/2014,1.21429
01/07/2014,1.21408
02/07/2014,1.21407
03/07/2014,1.21577
04/07/2014,1.21568
07/07/2014,1.21566
08/07/2014,1.2156
09/07/2014,1.21545
10/07/2014,1.21428
11/07/2014,1.21402
14/07/2014,1.21465
15/07/2014,1.21533
16/07/2014,1.21507
17/07/2014,1.21386
18/07/2014,1.21512
21/07/2014,1.21442
22/07/2014,1.2151
23/07/2014,1.21465
24/07/2014,1.21517
25/07/2014,1.21516
28/07/2014,1.21484
29/07/2014,1.21611
30/07/2014,1.21764
31/07/2014,1.21691
