date,price
01/01/2014,1.3763
02/01/2014,1.3672
03/01/2014,1.3589
06/01/2014,1.3629
07/01/2014,1.3616
08/01/2014,1.3576
09/01/2014,1.3608
10/01/2014,1.367
13/01/2014,1.3671
14/01/2014,1.3679
15/01/2014,1.3605
16/01/2014,1.362
17/01/2014,1.3541
20/01/2014,1.3552
21/01/2014,1.3561
22/01/2014,1.3547
23/01/2014,1.3696
24/01/2014,1.3678
27/01/2014,1.3673
28/01/2014,1.3671
29/01/2014,1.3663
30/01/2014,1.3555
31/01/2014,1.3486
03/02/2014,1.3525
04/02/2014,1.3519
05/02/2014,1.3533
06/02/2014,1.359
07/02/2014,1.3635
10/02/2014,1.3646
11/02/2014,1.3638
12/02/2014,1.3593
13/02/2014,1.3681
14/02/2014,1.3693
17/02/2014,1.3707
18/02/2014,1.3759
19/02/2014,1.3733
20/02/2014,1.3719
21/02/2014,1.3746
24/02/2014,1.3735
25/02/2014,1.3745
26/02/2014,1.3687
27/02/2014,1.371
28/02/2014,1.3802
03/03/2014,1.3735
04/03/2014,1.3743
05/03/2014,1.3733
06/03/2014,1.3861
07/03/2014,1.3875
10/03/2014,1.3877
11/03/2014,1.386
12/03/2014,1.3903
13/03/2014,1.3868
14/03/2014,1.3914
17/03/2014,1.3922
18/03/2014,1.3934
19/03/2014,1.3833
20/03/2014,1.3779
21/03/2014,1.3794
24/03/2014,1.3839
25/03/2014,1.3826
26/03/2014,1.3781
27/03/2014,1.374
28/03/2014,1.3752
31/03/2014,1.3769
01/04/2014,1.3793
02/04/2014,1.3767
03/04/2014,1.372
04/04/2014,1.3705
07/04/2014,1.3742
08/04/2014,1.3797
09/04/2014,1.3855
10/04/2014,1.3886
11/04/2014,1.3885
14/04/2014,1.3821
15/04/2014,1.3815
16/04/2014,1.3816
17/04/2014,1.3814
18/04/2014,1.3813
21/04/2014,1.3793
22/04/2014,1.3805
23/04/2014,1.3817
24/04/2014,1.3831
25/04/2014,1.3834
28/04/2014,1.3851
29/04/2014,1.3812
30/04/2014,1.3867
01/05/2014,1.387
02/05/2014,1.3869
05/05/2014,1.3875
06/05/2014,1.3928
07/05/2014,1.391
08/05/2014,1.384
09/05/2014,1.3758
12/05/2014,1.3757
13/05/2014,1.3704
14/05/2014,1.3715
15/05/2014,1.371
16/05/2014,1.3694
19/05/2014,1.3709
20/05/2014,1.3702
21/05/2014,1.3687
22/05/2014,1.3656
23/05/2014,1.3629
26/05/2014,1.3646
27/05/2014,1.3635
28/05/2014,1.3591
29/05/2014,1.3602
30/05/2014,1.3635
02/06/2014,1.3597
03/06/2014,1.3628
04/06/2014,1.3599
05/06/2014,1.366
06/06/2014,1.3643
09/06/2014,1.3594
10/06/2014,1.3547
11/06/2014,1.3532
12/06/2014,1.3552
13/06/2014,1.354
16/06/2014,1.3574
17/06/2014,1.3547
18/06/2014,1.3595
19/06/2014,1.3608
20/06/2014,1.36
23/06/2014,1.3605
24/06/2014,1.3606
25/06/2014,1.3629
26/06/2014,1.3612
27/06/2014,1.3649
30/06/2014,1.3692
01/07/2014,1.3679
02/07/2014,1.366
03/07/2014,1.361
04/07/2014,1.3595
07/07/2014,1.3605
08/07/2014,1.3612
09/07/2014,1.3642
10/07/2014,1.3609
11/07/2014,1.3608
14/07/2014,1.3619
15/07/2014,1.3568
16/07/2014,1.3525
17/07/2014,1.3526
18/07/2014,1.3524
21/07/2014,1.3524
22/07/2014,1.3466
23/07/2014,1.3464
24/07/2014,1.3464
25/07/2014,1.343
28/07/2014,1.344
29/07/2014,1.3409
30/07/2014,1.3397
31/07/2014,1.339
01/08/2014,1.3427
04/08/2014,1.3422
05/08/2014,1.3376
06/08/2014,1.3383
07/08/2014,1.3364
08/08/2014,1.341
11/08/2014,1.3385
12/08/2014,1.3369
13/08/2014,1.3364
14/08/2014,1.3365
15/08/2014,1.3401
18/08/2014,1.3364
19/08/2014,1.332
20/08/2014,1.3259
21/08/2014,1.3281
22/08/2014,1.3242
25/08/2014,1.3192
26/08/2014,1.3167
27/08/2014,1.3193
28/08/2014,1.3182
29/08/2014,1.3132
01/09/2014,1.3128
02/09/2014,1.3133
03/09/2014,1.315
04/09/2014,1.2944
05/09/2014,1.2951
08/09/2014,1.2895
09/09/2014,1.2937
10/09/2014,1.2917
11/09/2014,1.2925
12/09/2014,1.2963
15/09/2014,1.294
16/09/2014,1.296
17/09/2014,1.2865
18/09/2014,1.2923
19/09/2014,1.2829
22/09/2014,1.2849
23/09/2014,1.2847
24/09/2014,1.278
25/09/2014,1.2751
26/09/2014,1.2684
29/09/2014,1.2685
30/09/2014,1.2631
01/10/2014,1.2623
02/10/2014,1.2669
03/10/2014,1.2516
06/10/2014,1.2655
07/10/2014,1.2669
08/10/2014,1.2734
09/10/2014,1.2691
10/10/2014,1.2628
13/10/2014,1.2752
14/10/2014,1.2658
15/10/2014,1.2838
16/10/2014,1.2809
17/10/2014,1.2761
20/10/2014,1.28
21/10/2014,1.2716
22/10/2014,1.2649
23/10/2014,1.2646
24/10/2014,1.2671
27/10/2014,1.2698
28/10/2014,1.2734
29/10/2014,1.2632
30/10/2014,1.2613
31/10/2014,1.2525
03/11/2014,1.2482
04/11/2014,1.2546
05/11/2014,1.2486
06/11/2014,1.2375
07/11/2014,1.2455
10/11/2014,1.2421
11/11/2014,1.2475
12/11/2014,1.2438
13/11/2014,1.2477
14/11/2014,1.2525
17/11/2014,1.245
18/11/2014,1.2536
19/11/2014,1.2554
20/11/2014,1.2539
21/11/2014,1.2391
24/11/2014,1.2442
25/11/2014,1.2474
26/11/2014,1.2506
27/11/2014,1.2467
28/11/2014,1.2452
01/12/2014,1.247
02/12/2014,1.2383
03/12/2014,1.2311
04/12/2014,1.2379
05/12/2014,1.2283
08/12/2014,1.2317
09/12/2014,1.2374
10/12/2014,1.2448
11/12/2014,1.2411
12/12/2014,1.2462
15/12/2014,1.2437
16/12/2014,1.2511
17/12/2014,1.2342
18/12/2014,1.2286
19/12/2014,1.2229
22/12/2014,1.223
23/12/2014,1.2172
24/12/2014,1.2196
25/12/2014,1.2225
26/12/2014,1.2183
29/12/2014,1.2152
30/12/2014,1.2156
31/12/2014,1.2098
01/01/2015,1.2104
02/01/2015,1.2002
05/01/2015,1.1933
06/01/2015,1.189
07/01/2015,1.1839
08/01/2015,1.1793
09/01/2015,1.1842
12/01/2015,1.1834
13/01/2015,1.1773
14/01/2015,1.1789
15/01/2015,1.1633
16/01/2015,1.1567
19/01/2015,1.1606
20/01/2015,1.155
21/01/2015,1.161
22/01/2015,1.1366
23/01/2015,1.1204
26/01/2015,1.1238
27/01/2015,1.1381
28/01/2015,1.1287
29/01/2015,1.132
30/01/2015,1.1291
02/02/2015,1.1341
03/02/2015,1.1481
04/02/2015,1.1345
05/02/2015,1.1477
06/02/2015,1.1316
09/02/2015,1.1325
10/02/2015,1.1321
11/02/2015,1.1336
12/02/2015,1.1403
13/02/2015,1.1394
16/02/2015,1.1355
17/02/2015,1.1411
18/02/2015,1.1397
19/02/2015,1.1368
20/02/2015,1.1381
23/02/2015,1.1335
24/02/2015,1.134
25/02/2015,1.1361
26/02/2015,1.1198
27/02/2015,1.1196
02/03/2015,1.1184
03/03/2015,1.1176
04/03/2015,1.1078
05/03/2015,1.103
06/03/2015,1.0844
