date,price
01/01/2014,3.022
02/01/2014,3.027
03/01/2014,3.024
06/01/2014,2.972
07/01/2014,2.95
08/01/2014,2.973
09/01/2014,2.983
10/01/2014,2.873
13/01/2014,2.828
14/01/2014,2.834
15/01/2014,2.863
16/01/2014,2.811
17/01/2014,2.831
20/01/2014,2.828
21/01/2014,2.834
22/01/2014,2.886
23/01/2014,2.81
24/01/2014,2.772
27/01/2014,2.775
28/01/2014,2.806
29/01/2014,2.762
30/01/2014,2.751
31/01/2014,2.707
03/02/2014,2.689
04/02/2014,2.701
05/02/2014,2.689
06/02/2014,2.747
07/02/2014,2.712
10/02/2014,2.719
11/02/2014,2.742
12/02/2014,2.819
13/02/2014,2.791
14/02/2014,2.794
17/02/2014,2.782
18/02/2014,2.746
19/02/2014,2.731
20/02/2014,2.798
21/02/2014,2.781
24/02/2014,2.774
25/02/2014,2.744
26/02/2014,2.725
27/02/2014,2.676
28/02/2014,2.719
03/03/2014,2.645
04/03/2014,2.697
05/03/2014,2.719
06/03/2014,2.767
07/03/2014,2.794
10/03/2014,2.796
11/03/2014,2.783
12/03/2014,2.752
13/03/2014,2.687
14/03/2014,2.664
17/03/2014,2.682
18/03/2014,2.677
19/03/2014,2.697
20/03/2014,2.767
21/03/2014,2.747
24/03/2014,2.686
25/03/2014,2.708
26/03/2014,2.699
27/03/2014,2.675
28/03/2014,2.724
31/03/2014,2.736
01/04/2014,2.732
02/04/2014,2.774
03/04/2014,2.754
04/04/2014,2.686
07/04/2014,2.664
08/04/2014,2.694
09/04/2014,2.69
10/04/2014,2.619
11/04/2014,2.611
14/04/2014,2.637
15/04/2014,2.601
16/04/2014,2.636
17/04/2014,2.668
18/04/2014,2.668
21/04/2014,2.668
22/04/2014,2.711
23/04/2014,2.678
24/04/2014,2.691
25/04/2014,2.639
28/04/2014,2.664
29/04/2014,2.686
30/04/2014,2.663
01/05/2014,2.635
02/05/2014,2.642
05/05/2014,2.641
06/05/2014,2.657
07/05/2014,2.658
08/05/2014,2.644
09/05/2014,2.685
12/05/2014,2.733
13/05/2014,2.682
14/05/2014,2.583
15/05/2014,2.524
16/05/2014,2.564
19/05/2014,2.587
20/05/2014,2.61
21/05/2014,2.645
22/05/2014,2.653
23/05/2014,2.635
27/05/2014,2.642
28/05/2014,2.548
29/05/2014,2.541
30/05/2014,2.57
02/06/2014,2.614
03/06/2014,2.647
04/06/2014,2.698
05/06/2014,2.677
06/06/2014,2.655
09/06/2014,2.699
10/06/2014,2.72
11/06/2014,2.711
12/06/2014,2.717
13/06/2014,2.745
16/06/2014,2.753
17/06/2014,2.777
18/06/2014,2.74
19/06/2014,2.735
20/06/2014,2.76
23/06/2014,2.738
24/06/2014,2.734
25/06/2014,2.646
26/06/2014,2.636
27/06/2014,2.64
30/06/2014,2.67
01/07/2014,2.705
02/07/2014,2.751
03/07/2014,2.75
04/07/2014,2.757
07/07/2014,2.726
08/07/2014,2.647
09/07/2014,2.659
10/07/2014,2.627
11/07/2014,2.601
14/07/2014,2.604
15/07/2014,2.644
16/07/2014,2.651
17/07/2014,2.586
18/07/2014,2.571
21/07/2014,2.566
22/07/2014,2.585
23/07/2014,2.554
24/07/2014,2.606
25/07/2014,2.57
28/07/2014,2.578
29/07/2014,2.546
