date,price
02/01/2014,557.099
03/01/2014,553.035
06/01/2014,559.201
07/01/2014,569.981
08/01/2014,571.168
09/01/2014,565.668
10/01/2014,565.638
13/01/2014,562.034
14/01/2014,575.257
15/01/2014,574.867
16/01/2014,578.67
17/01/2014,575.822
21/01/2014,582.414
22/01/2014,583.074
23/01/2014,580.612
24/01/2014,562.459
27/01/2014,551.149
28/01/2014,562.049
29/01/2014,553.996
30/01/2014,568.247
31/01/2014,591.057
03/02/2014,567.264
04/02/2014,569.631
05/02/2014,572.154
06/02/2014,580.542
07/02/2014,589.29
10/02/2014,587.033
11/02/2014,595.667
12/02/2014,593.92
13/02/2014,600.531
14/02/2014,601.983
18/02/2014,606.027
19/02/2014,601.753
20/02/2014,602.638
21/02/2014,602.478
24/02/2014,606.842
25/02/2014,610.591
26/02/2014,610.676
27/02/2014,610.196
28/02/2014,608.414
03/03/2014,601.928
04/03/2014,608.044
05/03/2014,609.72
06/03/2014,610.396
07/03/2014,607.984
10/03/2014,606.372
11/03/2014,600.576
12/03/2014,604.235
13/03/2014,595.106
14/03/2014,586.968
17/03/2014,596.628
18/03/2014,606.217
19/03/2014,600.206
20/03/2014,599.16
21/03/2014,592.093
24/03/2014,579.526
25/03/2014,579.921
26/03/2014,566.533
27/03/2014,557.68
28/03/2014,560.618
31/03/2014,557.795
01/04/2014,567.995
02/04/2014,568.1
03/04/2014,571.5
04/04/2014,545.25
07/04/2014,540.63
08/04/2014,557.51
09/04/2014,567.04
10/04/2014,546.69
11/04/2014,537.76
14/04/2014,545.2
15/04/2014,548.7
16/04/2014,563.9
17/04/2014,543.34
21/04/2014,539.37
22/04/2014,545.5
23/04/2014,537.51
24/04/2014,534.44
25/04/2014,523.1
28/04/2014,522.98
29/04/2014,536.33
30/04/2014,534.88
01/05/2014,538.53
02/05/2014,533.87
05/05/2014,535.33
06/05/2014,522.57
07/05/2014,518
08/05/2014,520.17
09/05/2014,526.62
12/05/2014,538.43
13/05/2014,541.54
14/05/2014,534.41
15/05/2014,529.12
16/05/2014,528.3
19/05/2014,538.83
20/05/2014,540.39
21/05/2014,549.7
22/05/2014,555.45
23/05/2014,563.8
27/05/2014,574.87
28/05/2014,570.45
29/05/2014,570.56
30/05/2014,571.65
02/06/2014,564.34
03/06/2014,554.51
04/06/2014,553.76
05/06/2014,564.93
06/06/2014,566.03
09/06/2014,570.73
10/06/2014,568.3
11/06/2014,567.5
12/06/2014,559.5
13/06/2014,560.35
16/06/2014,552.3
17/06/2014,550.615
18/06/2014,560.66
19/06/2014,564.99
20/06/2014,566.52
23/06/2014,574.29
24/06/2014,572.54
25/06/2014,585.93
26/06/2014,584.77
27/06/2014,585.69
30/06/2014,584.67
01/07/2014,591.49
02/07/2014,590.78
03/07/2014,593.08
07/07/2014,590.76
08/07/2014,578.4
09/07/2014,583.36
10/07/2014,580.04
11/07/2014,586.65
14/07/2014,594.26
15/07/2014,593.06
16/07/2014,590.62
17/07/2014,580.82
18/07/2014,605.11
21/07/2014,598.44
22/07/2014,603.57
23/07/2014,605.19
24/07/2014,603.01
25/07/2014,598.08
28/07/2014,599.02
29/07/2014,593.95
30/07/2014,595.44
31/07/2014,579.55
01/08/2014,573.6
04/08/2014,582.27
05/08/2014,573.14
06/08/2014,574.49
07/08/2014,571.81
08/08/2014,577.94
11/08/2014,577.25
12/08/2014,572.12
13/08/2014,584.56
14/08/2014,584.65
15/08/2014,583.71
18/08/2014,592.7
19/08/2014,597.11
20/08/2014,595.41
21/08/2014,592.42
22/08/2014,592.54
25/08/2014,590.57
26/08/2014,588.12
27/08/2014,583
28/08/2014,580.32
29/08/2014,582.36
02/09/2014,588.63
03/09/2014,589.52
04/09/2014,593.14
05/09/2014,597.78
08/09/2014,601.63
09/09/2014,591.97
10/09/2014,593.42
11/09/2014,591.11
12/09/2014,584.9
15/09/2014,581.64
16/09/2014,588.78
17/09/2014,593.29
18/09/2014,597.27
19/09/2014,605.4
22/09/2014,597.27
23/09/2014,591.18
24/09/2014,598.42
25/09/2014,585.25
26/09/2014,587.9
29/09/2014,587.81
30/09/2014,588.41
01/10/2014,579.63
02/10/2014,580.88
03/10/2014,586.25
06/10/2014,587.78
07/10/2014,574.1
08/10/2014,583.74
09/10/2014,570.81
10/10/2014,555.19
13/10/2014,544.75
14/10/2014,548.69
15/10/2014,540.73
16/10/2014,536.92
17/10/2014,522.97
20/10/2014,532.38
21/10/2014,538.03
22/10/2014,542.69
23/10/2014,553.65
24/10/2014,548.9
27/10/2014,549.88
28/10/2014,558.94
29/10/2014,558.45
30/10/2014,560.27
31/10/2014,567.87
03/11/2014,563.77
04/11/2014,564.19
05/11/2014,555.95
06/11/2014,551.69
07/11/2014,551.82
10/11/2014,558.23
11/11/2014,561.29
12/11/2014,558.25
13/11/2014,556.44
14/11/2014,555.19
17/11/2014,546.64
18/11/2014,544.51
19/11/2014,547.2
20/11/2014,543.76
21/11/2014,545.89
24/11/2014,547.48
25/11/2014,549.23
26/11/2014,547.73
28/11/2014,549.08
01/12/2014,539.65
02/12/2014,538.59
03/12/2014,536.97
04/12/2014,542.58
05/12/2014,528.08
08/12/2014,530.73
09/12/2014,536.11
10/12/2014,528.04
11/12/2014,532.11
12/12/2014,521.51
15/12/2014,515.84
16/12/2014,498.16
17/12/2014,506.45
18/12/2014,514.62
19/12/2014,520.04
22/12/2014,532.3
23/12/2014,538.77
24/12/2014,536.93
26/12/2014,541.52
29/12/2014,537.31
30/12/2014,535.28
31/12/2014,530.66
02/01/2015,529.55
