date,price
02/01/2014,15.86
03/01/2014,15.67
06/01/2014,15.88
07/01/2014,16.14
08/01/2014,16.36
09/01/2014,15.75
10/01/2014,15.73
13/01/2014,15.36
14/01/2014,15.84
15/01/2014,16.01
16/01/2014,16.06
17/01/2014,15.99
21/01/2014,16.05
22/01/2014,16.03
23/01/2014,15.97
24/01/2014,15.56
27/01/2014,15.46
28/01/2014,15.61
29/01/2014,15.46
30/01/2014,15.72
31/01/2014,15.7
03/02/2014,15.49
04/02/2014,15.58
05/02/2014,15.44
06/02/2014,15.64
07/02/2014,15.87
10/02/2014,15.92
11/02/2014,16.25
12/02/2014,16.83
13/02/2014,17.36
14/02/2014,17.91
18/02/2014,17.9
19/02/2014,18.14
20/02/2014,18.78
21/02/2014,18.64
24/02/2014,18.91
25/02/2014,18.74
26/02/2014,18.71
27/02/2014,18.5
28/02/2014,18.38
03/03/2014,18.29
04/03/2014,18.48
05/03/2014,18.64
06/03/2014,18.38
07/03/2014,18.36
10/03/2014,18.09
11/03/2014,18.27
12/03/2014,18.32
13/03/2014,17.74
14/03/2014,17.82
17/03/2014,17.82
18/03/2014,18.24
19/03/2014,18.555
20/03/2014,18.57
21/03/2014,18.54
24/03/2014,18.45
25/03/2014,18.45
26/03/2014,18.03
27/03/2014,17.79
28/03/2014,17.9
31/03/2014,17.91
01/04/2014,18.65
02/04/2014,18.53
03/04/2014,18.73
04/04/2014,18.15
07/04/2014,18.21
08/04/2014,18.86
09/04/2014,18.84
10/04/2014,18.38
11/04/2014,18.12
14/04/2014,18.32
15/04/2014,18.45
16/04/2014,18.49
17/04/2014,18.56
21/04/2014,18.71
22/04/2014,18.87
23/04/2014,19.09
24/04/2014,19.26
25/04/2014,18.73
28/04/2014,18.65
29/04/2014,18.69
30/04/2014,18.47
01/05/2014,18.57
02/05/2014,18.43
05/05/2014,18.63
06/05/2014,18.25
07/05/2014,18.275
08/05/2014,18.5
09/05/2014,18.05
12/05/2014,18.58
13/05/2014,18.28
14/05/2014,18.1
15/05/2014,18
16/05/2014,17.96
19/05/2014,18.54
20/05/2014,18.24
21/05/2014,18.24
22/05/2014,18.32
23/05/2014,18.49
27/05/2014,18.82
28/05/2014,18.98
29/05/2014,18.95
30/05/2014,19
02/06/2014,18.94
03/06/2014,18.86
04/06/2014,18.88
05/06/2014,18.96
06/06/2014,19.03
09/06/2014,19.05
10/06/2014,19.15
11/06/2014,19.4
12/06/2014,19.52
13/06/2014,19.54
16/06/2014,19.48
17/06/2014,19.61
