date,price
01/01/2014,3.0282
02/01/2014,2.989
03/01/2014,2.9948
06/01/2014,2.9576
07/01/2014,2.9391
08/01/2014,2.9894
09/01/2014,2.9652
10/01/2014,2.8579
13/01/2014,2.8257
14/01/2014,2.8709
15/01/2014,2.8912
16/01/2014,2.8414
17/01/2014,2.8194
20/01/2014,2.8194
21/01/2014,2.8286
22/01/2014,2.8656
23/01/2014,2.7772
24/01/2014,2.715
27/01/2014,2.7479
28/01/2014,2.7488
29/01/2014,2.6767
30/01/2014,2.6949
31/01/2014,2.644
03/02/2014,2.5761
04/02/2014,2.6294
05/02/2014,2.6675
06/02/2014,2.7003
07/02/2014,2.6829
10/02/2014,2.6674
11/02/2014,2.725
12/02/2014,2.7608
13/02/2014,2.732
14/02/2014,2.7428
17/02/2014,2.7428
18/02/2014,2.7069
19/02/2014,2.7392
20/02/2014,2.7509
21/02/2014,2.731
24/02/2014,2.7382
25/02/2014,2.7023
26/02/2014,2.6655
27/02/2014,2.6387
28/02/2014,2.6476
03/03/2014,2.6012
04/03/2014,2.6977
05/03/2014,2.7048
06/03/2014,2.7373
07/03/2014,2.7879
10/03/2014,2.777
11/03/2014,2.768
12/03/2014,2.73
13/03/2014,2.6446
14/03/2014,2.6543
17/03/2014,2.6921
18/03/2014,2.6722
19/03/2014,2.7725
20/03/2014,2.7716
21/03/2014,2.7426
24/03/2014,2.7281
25/03/2014,2.748
26/03/2014,2.6919
27/03/2014,2.681
28/03/2014,2.7208
31/03/2014,2.718
01/04/2014,2.7525
02/04/2014,2.8045
03/04/2014,2.7972
04/04/2014,2.7207
07/04/2014,2.6998
08/04/2014,2.6808
09/04/2014,2.6898
10/04/2014,2.6474
11/04/2014,2.6247
14/04/2014,2.6472
15/04/2014,2.6283
16/04/2014,2.6282
17/04/2014,2.7215
18/04/2014,2.7215
21/04/2014,2.7151
22/04/2014,2.7105
23/04/2014,2.6987
24/04/2014,2.6805
25/04/2014,2.6623
28/04/2014,2.7005
29/04/2014,2.6913
30/04/2014,2.6459
01/05/2014,2.6133
02/05/2014,2.5843
05/05/2014,2.6068
06/05/2014,2.5914
07/05/2014,2.5878
08/05/2014,2.6161
09/05/2014,2.6233
12/05/2014,2.6611
13/05/2014,2.6089
14/05/2014,2.5427
15/05/2014,2.4893
16/05/2014,2.5231
19/05/2014,2.5445
20/05/2014,2.5106
21/05/2014,2.532
22/05/2014,2.5499
23/05/2014,2.5321
26/05/2014,2.5321
27/05/2014,2.5142
28/05/2014,2.4431
29/05/2014,2.4644
30/05/2014,2.4759
02/06/2014,2.5267
03/06/2014,2.5985
04/06/2014,2.6021
05/06/2014,2.5824
06/06/2014,2.5869
09/06/2014,2.6032
10/06/2014,2.6439
11/06/2014,2.6394
12/06/2014,2.5951
13/06/2014,2.6033
16/06/2014,2.597
17/06/2014,2.6523
18/06/2014,2.5844
19/06/2014,2.6206
20/06/2014,2.6052
23/06/2014,2.6261
24/06/2014,2.5781
25/06/2014,2.5592
26/06/2014,2.5286
27/06/2014,2.534
30/06/2014,2.5304
01/07/2014,2.5647
02/07/2014,2.6264
03/07/2014,2.6383
04/07/2014,2.6383
07/07/2014,2.611
08/07/2014,2.5557
09/07/2014,2.5503
10/07/2014,2.5359
11/07/2014,2.516
14/07/2014,2.5468
15/07/2014,2.5468
16/07/2014,2.526
17/07/2014,2.4458
18/07/2014,2.4809
21/07/2014,2.4674
22/07/2014,2.4601
23/07/2014,2.4655
24/07/2014,2.5025
25/07/2014,2.4655
28/07/2014,2.4853
29/07/2014,2.4601
30/07/2014,2.5569
31/07/2014,2.5578
01/08/2014,2.4925
04/08/2014,2.4817
05/08/2014,2.4844
06/08/2014,2.4708
07/08/2014,2.4114
08/08/2014,2.4203
11/08/2014,2.4275
12/08/2014,2.4491
13/08/2014,2.4166
14/08/2014,2.4015
15/08/2014,2.3397
18/08/2014,2.3927
19/08/2014,2.3997
20/08/2014,2.4264
21/08/2014,2.4068
22/08/2014,2.4024
25/08/2014,2.382
26/08/2014,2.3962
27/08/2014,2.3573
28/08/2014,2.3361
29/08/2014,2.3431
01/09/2014,2.3431
02/09/2014,2.4211
03/09/2014,2.3962
04/09/2014,2.4497
05/09/2014,2.4587
08/09/2014,2.4712
09/09/2014,2.5036
10/09/2014,2.5414
11/09/2014,2.5496
12/09/2014,2.6105
15/09/2014,2.5887
16/09/2014,2.5924
17/09/2014,2.6198
18/09/2014,2.6144
19/09/2014,2.5745
22/09/2014,2.5636
23/09/2014,2.5275
24/09/2014,2.5637
25/09/2014,2.5022
26/09/2014,2.5276
29/09/2014,2.4771
30/09/2014,2.4888
01/10/2014,2.3856
02/10/2014,2.425
03/10/2014,2.434
06/10/2014,2.4196
07/10/2014,2.3391
08/10/2014,2.3213
09/10/2014,2.3133
10/10/2014,2.2804
13/10/2014,2.2804
14/10/2014,2.1973
15/10/2014,2.1358
16/10/2014,2.1559
17/10/2014,2.1936
20/10/2014,2.1909
21/10/2014,2.2217
22/10/2014,2.2164
23/10/2014,2.2712
24/10/2014,2.2685
27/10/2014,2.2605
28/10/2014,2.296
29/10/2014,2.3174
30/10/2014,2.3058
31/10/2014,2.3353
03/11/2014,2.3425
04/11/2014,2.3335
05/11/2014,2.3424
06/11/2014,2.3856
07/11/2014,2.2976
10/11/2014,2.3604
11/11/2014,2.3604
12/11/2014,2.3712
13/11/2014,2.3399
14/11/2014,2.3204
17/11/2014,2.3399
18/11/2014,2.3151
19/11/2014,2.3594
20/11/2014,2.3373
21/11/2014,2.3099
24/11/2014,2.3064
25/11/2014,2.257
26/11/2014,2.2447
27/11/2014,2.2447
28/11/2014,2.164
01/12/2014,2.235
02/12/2014,2.2923
03/12/2014,2.2799
04/12/2014,2.2341
05/12/2014,2.3065
08/12/2014,2.257
09/12/2014,2.2129
10/12/2014,2.1638
11/12/2014,2.162
12/12/2014,2.0817
15/12/2014,2.1182
16/12/2014,2.0591
17/12/2014,2.1356
18/12/2014,2.2075
19/12/2014,2.1618
22/12/2014,2.1583
23/12/2014,2.2614
24/12/2014,2.2632
25/12/2014,2.2632
26/12/2014,2.2499
29/12/2014,2.2021
30/12/2014,2.1871
31/12/2014,2.1712
01/01/2015,2.1712
02/01/2015,2.1105
05/01/2015,2.032
06/01/2015,1.9402
07/01/2015,1.9677
08/01/2015,2.0179
09/01/2015,1.9449
12/01/2015,1.907
13/01/2015,1.9
14/01/2015,1.8553
15/01/2015,1.7149
16/01/2015,1.8368
19/01/2015,1.8368
20/01/2015,1.788
21/01/2015,1.8717
22/01/2015,1.8631
23/01/2015,1.7968
26/01/2015,1.8241
27/01/2015,1.8231
28/01/2015,1.7207
29/01/2015,1.7512
30/01/2015,1.6407
02/02/2015,1.6642
03/02/2015,1.7915
04/02/2015,1.7513
05/02/2015,1.8204
06/02/2015,1.9567
09/02/2015,1.9775
10/02/2015,1.9967
11/02/2015,2.0176
12/02/2015,1.9844
13/02/2015,2.0504
16/02/2015,2.0504
17/02/2015,2.1379
18/02/2015,2.08
19/02/2015,2.1142
20/02/2015,2.1117
23/02/2015,2.0574
24/02/2015,1.98
25/02/2015,1.9688
26/02/2015,2.0295
27/02/2015,1.993
02/03/2015,2.082
03/03/2015,2.1189
04/03/2015,2.1172
05/03/2015,2.1154
06/03/2015,2.2414
09/03/2015,2.1907
10/03/2015,2.1297
11/03/2015,2.1086
12/03/2015,2.1156
13/03/2015,2.114
16/03/2015,2.0717
17/03/2015,2.0507
18/03/2015,1.9199
19/03/2015,1.9685
20/03/2015,1.9303
23/03/2015,1.912
24/03/2015,1.8731
25/03/2015,1.925
26/03/2015,1.9894
27/03/2015,1.9615
30/03/2015,1.9475
31/03/2015,1.9231
01/04/2015,1.8573
02/04/2015,1.9117
03/04/2015,1.8389
06/04/2015,1.8952
07/04/2015,1.8848
08/04/2015,1.9047
09/04/2015,1.9596
10/04/2015,1.9473
13/04/2015,1.9272
14/04/2015,1.8985
15/04/2015,1.888
16/04/2015,1.8897
17/04/2015,1.8653
20/04/2015,1.8896
21/04/2015,1.9087
22/04/2015,1.9788
23/04/2015,1.9577
24/04/2015,1.9086
27/04/2015,1.9208
28/04/2015,2.0034
29/04/2015,2.0388
30/04/2015,2.0317
01/05/2015,2.1135
04/05/2015,2.144
05/05/2015,2.1853
06/05/2015,2.2431
07/05/2015,2.18
08/05/2015,2.1478
11/05/2015,2.2797
12/05/2015,2.2489
13/05/2015,2.2926
14/05/2015,2.2301
15/05/2015,2.1424
18/05/2015,2.2337
19/05/2015,2.2886
20/05/2015,2.2479
